reviews_text,rating,timestamp,sentiment_label,sentiment_score
its so fun and a lot of choices to play,5,2026-08-12,positive,0.9816321134567261
Have been hit on and harrased😭 Aperantly TylerTheSuperMoonWolf3 can make me straight😭😭🥀,1,2026-08-12,negative,0.9036930799484253
my id password is expired 😭 please return my password 🥺,5,2026-08-12,negative,0.8486309051513672
"bruhh why does somebody from medan, Indonesia keep logging in on my account 😭🥀",3,2026-08-12,negative,0.8910177946090698
we need old roblox back! RIGHT NOW,3,2026-08-12,neutral,0.5408791303634644
good,5,2026-08-12,positive,0.6512182354927063
its alright but I feel like there are too many try hards and sweats in invincible showdown but other then that I do enjoy the fnaf rps,4,2026-08-12,positive,0.5026900768280029
Roblox Nama mu,5,2026-08-12,neutral,0.8860628008842468
ဆော့ခွင့်ပြုပါ,5,2026-08-12,neutral,0.7467508912086487
good,5,2026-08-12,positive,0.6512182354927063
because this is my favourite game and I love it 😻,5,2026-08-12,positive,0.9909679293632507
"the game is fun play it cool , 😎😎😎😎😎",5,2026-08-12,positive,0.9815845489501953
updates sucks,1,2026-08-12,negative,0.8621281981468201
I played this game before and this is the best game I ever seen again. to gave 5 star.,5,2026-08-12,positive,0.9846060276031494
"The game is freaking dumb, needs face verification to chat and always banning people who arrest or found a predator and roblox should be sued for that, after the schlep case, i feel like roblox is ruining and destroying people happiness and making wrong decision. and i hear people talking that roblox sell data roblox face verification on the 3rd party company without THE USER CONSENT. Play store and google should have take this platform down and sue QUICKLY. Before something bad happens.",1,2026-08-12,negative,0.937153160572052
